# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.043518753704174,0.9021142828610453,-17.26419363986059,0,1.0,-0.340487248079069,180.0,0.0,0.0
 0.16775175358896302,6.056955161069291,0.8979385177295747,-17.26419363986059,0.16775175358896302,1.0,-0.340487248079069,180.0,-4.003799175455063,0.0
 0.23505303515139153,6.069880053913295,0.8938549665554345,-17.533654455487312,0.23505303515139153,1.0,-0.3793741024406302,180.0,-5.765175222973514,0.0
 0.28519303293079473,6.08229668457543,0.8898629905856326,-17.822720328365076,0.28519303293079473,1.0,-0.42421440570239016,180.0,-7.580811852379375,0.0
 0.32619527639935847,6.0942083053949405,0.8859619510671768,-18.133550621625705,0.32619527639935847,1.0,-0.47617175515524107,180.0,-9.573648465033573,0.0
 0.36119548830191295,6.105618168711071,0.882151209247075,-18.468630346582447,0.36119548830191295,1.0,-0.5366900600380803,180.0,-11.829154061873671,0.0
 0.39181500363107374,6.116529526863064,0.8784301263723349,-18.830833310710993,0.39181500363107374,1.0,-0.6075746628543441,180.0,-14.431350062358288,0.0
 0.4190243130869957,6.126945632190165,0.8747980636899646,-19.22350038042444,0.4190243130869957,1.0,-0.6911011200537674,180.0,-17.47576164602135,1.1631105322930204e-12
 0.44346026189950616,6.136869737031618,0.8712543824469716,-19.65053719746625,0.44346026189950616,1.0,-0.7901625854556383,180.00000000000003,-21.07843235314719,-1.2855904329910783e-12
 0.4655681655529874,6.146305093726666,0.8677984438903642,-20.11653714909605,0.46556816555298736,0.9999999999999974,-0.9084716991696093,180.0,-24.38464547075434,0.0
 0.48649938116087776,6.155254954614552,0.8644296092671496,-20.626937420966375,0.4481771410458478,-0.8308654801961769,-1.0508403940663005,180.0,-27.05839270044604,0.0
 0.5072427191747269,6.163722572034522,0.8611472398243362,-21.188218806863194,0.42743380303199885,-0.9999999999999947,-1.2235725552502836,180.0,-30.0533174840588,0.0
 0.5278708969966989,6.171711198325818,0.8579506968089315,-21.80816398406454,0.40680562521002683,-1.0,-1.4350224131237403,180.0,-33.55282947572893,0.0
 0.548376790912244,6.179224085827686,0.8548393414679434,-22.496194745860212,0.38629973129448164,-1.0000000000000027,-1.696399917423974,180.0,-37.673778505713344,1.3948958467020637e-12
 0.568752297440277,6.186264486879369,0.8518125350483798,-23.263817065739048,0.3659242247664486,-1.0000000000000027,-2.022949866801641,180.00000000000003,-42.567814127078556,-1.4045190774653454e-12
 0.5889881987437289,6.192835653820111,0.8488696387972485,-24.125215151118294,0.3456883234629967,-1.0,-2.435705771120888,180.0,-48.434080611175304,0.0
 0.6090740281143133,6.198940838989154,0.8460100139615574,-25.098053829995493,0.3256024940924123,-0.9999999999999972,-2.9641421584266725,180.0,-55.53734125877741,0.0
 0.6289979553207623,6.204583294725745,0.8432330217883143,-26.20457577447509,0.30567856688596334,-1.0,-3.6502547677507144,180.0,-64.23411133852348,0.0
 0.6487467316353084,6.209766273369127,0.8405380235245269,-27.473120871063234,0.2859297905714173,-0.9999999999999972,-4.55494642329685,180.0,-75.01060718370314,-1.453123900084899e-12
 0.6683057722847282,6.214493027258542,0.8379243804172031,-28.940256386106945,0.2663707499219975,-1.0,-5.7681884161700925,179.99999999999997,-88.53793743667295,1.468537275158305e-12
 0.6876595264666506,6.218766808733236,0.8353914537133509,-30.653797863030743,0.24701699574007505,-1.0000000000000013,-7.425424034972405,180.0,-105.75159144789028,0.0
 0.7067924250281707,6.222590870132453,0.8329386046599779,-32.67713233492255,0.22788409717855493,-1.0,-9.734297295465726,180.0,-127.96211236983805,0.0
 0.7256909712493492,6.225968463795436,0.830565194504092,-35.09543023010356,0.20898555095737642,-1.0000000000000016,-13.018137521566464,180.0,-156.99543815642735,0.0
 0.7443480939576012,6.228902842061428,0.8282705844927014,-38.024513384423805,0.19032842824912455,-0.999999999999997,-17.78492084566106,180.0,-195.324167164169,1.5426515923489188e-12
 0.7627720268607706,6.231397257269675,0.8260541358728133,-41.623152734623915,0.1719044953459551,-1.0,-24.82782542202891,180.00000000000003,-246.02409109217527,-1.558857128855793e-12
 0.7810044286019524,6.2334549617594215,0.823915209891436,-46.108762801425556,0.15367209360477327,-1.0000000000000016,-35.33648187326285,180.0,-312.0135521128246,-1.5656285780195251e-12
 0.7991579739762689,6.235079207869909,0.821853167795577,-51.77291497710737,0.1355185482304568,-1.0,-50.884502120743846,179.99999999999997,-393.0932376542585,0.0
 0.8174971552528478,6.236273247940383,0.8198673708322445,-58.98192312104615,0.11717936695387784,-1.0,-72.82788622797656,179.99999999999997,-481.9339666568051,2.9976090865044494e-12
 0.8364600744395834,6.237040334310085,0.8179571802484461,-68.12079798410205,0.09992413224145716,-0.9099461186593376,-100.15190836943047,180.00000000000003,-571.2950980239283,-1.4393081147449863e-12
 0.8562068605093887,6.237383719318262,0.8161219572911896,-79.40204006750899,0.08917718772787031,-0.5442376534387005,-125.7455008901377,180.0,-649.4176211684991,0.0
 0.8763847259551727,6.237306655304159,0.814361063207483,-92.50590144556813,0.08552707937011648,-0.18089665468140384,-136.70761810405182,180.0,-686.7004916348792,0.0
 0.8965126660213354,6.236812394607014,0.812673859244334,-106.32776778459943,0.0891664080287465,0.1808097920933362,-125.77590652453931,180.0,-665.0347719501515,0.0
